Part Number,XC7A20SL,XC7A35SL,XC7A50SL,XC7A75SL,XC7A20SLT,XC7A35SLT,XC7A50SLT,XC7A75SLT,XC7A100T,XC7A200T
Slices,2500,5142,8200,11194,2500,5142,8200,11194,15850,33650
Logic Cells,16000,32909,52480,71642,16000,32909,52480,71642,101440,215360
Max Distributed RAM (Kbits),208,453,688,974,208,453,688,974,1188,2888
Block RAM/FIFO w/ ECC (36Kbits),30,65,95,125,30,65,95,125,135,365
Total Block RAM (Kbits),1080,2340,3420,4500,1080,2340,3420,4500,4860,13140
Clock Management Tiles (1 MMCM + 1 PLL),3,3,4,4,3,3,4,4,6,10
Max Single-Ended I/O,216,216,300,300,216,216,300,300,300,500
Max Differential I/O Pairs,54,54,72,72,54,54,72,72,144,240
DSP48E1 Slices,60,120,180,240,60,120,180,240,240,740
PCI Express,0,0,0,0,1,1,1,1,1,1
AMS / XADC,1,1,1,1,1,1,1,1,1,1
GTP Transceivers (6.6 Gb/s Max Rate),N/A,N/A,N/A,N/A,4,4,8,8,8,16
###,HR Pins / HD Pins (GTP),,,,,,,,,
CPG236,48/52,48/52,       ,       ,       ,       ,       ,       ,       ,       
CSG325,108/108,108/108,         ,         ,         ,         ,         ,         ,         ,         
CSG484,         ,         ,144/156,144/156,         ,         ,         ,         ,         ,         
CPG237,       ,       ,       ,       ,48/52 (1),48/52 (1),       ,       ,       ,       
CSG326,        ,        ,        ,        ,108/77 (4),108/77 (4),108/77 (4),108/77 (4),        ,        
CSG485,         ,         ,         ,         ,108/108 (4),108/108 (4),126/108 (6),126/108 (6),         ,         
FGG677,         ,         ,         ,         ,         ,         ,144/156 (8),144/156 (8),         ,         
CSG324,      ,      ,      ,      ,      ,      ,      ,      ,210/0 ,      
FTG256,      ,      ,      ,      ,      ,      ,      ,      ,170/0 ,      
SBG484,      ,      ,      ,      ,      ,      ,      ,      ,      ,285/0 (4)
FGG484,      ,      ,      ,      ,      ,      ,      ,      ,285/0 (4),      
FBG484,      ,      ,      ,      ,      ,      ,      ,      ,      ,285/0 (4)
FGG676,      ,      ,      ,      ,      ,      ,      ,      ,300/0 (8),      
FBG676,      ,      ,      ,      ,      ,      ,      ,      ,      ,400/0 (8)
FFG1156,       ,       ,       ,       ,       ,       ,       ,       ,       ,500/0 (16)
