Part Number,XC7K70T,XC7K160T,XC7K325T,XC7K355T,XC7K410T,XC7K420T,XC7K480T
Cost Reduced,n/a,n/a,XCE7K325T,XCE7K355T,XCE7K410T,XCE7K420T,XCE7K480T
Slices,10250,25350,50950,55650,63550,65150,74650
Logic Cells,65600,162240,326080,356160,406720,416960,477760
CLB Flip-Flops,82000,202800,407600,445200,508400,521200,597200
Max Distributed RAM (Kb),838,2188,4000,5088,5663,5938,6788
Block RAM/FIFO w/ ECC (36Kbit each),135,325,445,715,795,835,955
Total Block RAM (Kbit),4860,11700,16020,25740,28620,30060,34380
Clock Mgmt Tiles (1 MMCM + 1 PLL),6,8,10,6,10,8,8
Max Single-Eded I/O,300,400,500,300,500,400,400
Max Differential I/O Pairs,144,192,240,144,240,192,192
DSP48E1 Slices,240,600,840,1440,1540,1680,1920
GTX 12.5 Gb/s Transceivers (Max),8,8,16,24,16,32,32
###,3.3v Pins / 1.8v Pins,,,,,,
FBG484,185/100 (4),185/100 (4),,,,,
FBG676,200/100 (8),250/150 (8),250/150 (8),,250/150 (8),,
FFG676,,250/150 (8),250/150 (8),,250/150 (8),,
FBG900,,,350/150 (16),,350/150 (16),,
FFG900,,,350/150 (16),,350/150 (16),,
FFG901,,,,300/0 (24),,380/0 (28),380/0 (28)
FFG1156,,,,,,400/0 (32),400/0 (32)
