Device,Logic Cells,Slices,Max Distributed RAM (Kb),DSP48E1 Slices,Block RAM Blocks 18Kb,Block RAM Blocks 36Kb,Block RAM Blocks Max (Kb),Clock Mgmt Tiles (CMTs),PCIe,GTPs,XADC Blocks,Total I/O Banks,Max User I/O
XC7A20SL,16000,2500,208,60,60,30,1080,3,0,0,1,5,216
XC7A35SL,32909,5142,453,120,130,65,2340,3,0,0,1,5,216
XC7A50SL,52480,8200,688,180,190,95,3420,4,0,0,1,6,300
XC7A75SL,71642,11194,974,240,250,125,4500,4,0,0,1,6,300
XC7A20SLT,16000,2500,208,60,60,30,1080,3,1,4,1,5,216
XC7A35SLT,32909,5142,453,120,130,65,2340,3,1,4,1,5,216
XC7A50SLT,52480,8200,688,180,190,95,3420,4,1,8,1,6,300
XC7A75SLT,71642,11194,974,240,250,125,4500,4,1,8,1,6,300
XC7A100T,101440,15850,1188,240,270,135,4860,6,1,8,1,6,300
XC7A200T,215360,33650,2888,740,730,365,13140,10,1,16,1,10,500
