Part Number,XC6VLX75T,XC6VLX130T,XC6VLX195T,XC6VLX240T,XC6VLX365T,XC6VLX550T,XC6VLX760,XC6VSX315T,XC6VSX475T,XC6VHX250T,XC6VHX255T,XC6VHX380T,XC6VHX565T,
Cost Reduction Part,XCE6VLX75T,XCE6VLX130T,XCE6VLX195T,XCE6VLX240T,XCE6VLX365T,XCE6VLX550T,XCE6VLX760,XCE6VSX315T,XCE6VSX475T,XCE6VHX250T,XCE6VHX255T,XCE6VHX380T,XCE6VHX565T,
Slices,11640,20000,31200,37680,56880,85920,118560,49200,74400,39360,39600,59760,88560,
Logic Cells,74496,128000,199680,241152,364032,549888,758784,314880,476160,251904,253440,382464,566784,
CLB Flip-Flops,93120,160000,249600,455040,687360,948480,393600,595200,314880,478080,708480,,,
Max Distributed RAM (Kb),1045,1740,3040,3650,4130,6200,8280,5090,7640,3040,3050,4570,6370,
Block RAM/FIFO w/ ECC (36 Kbit),156,264,344,416,416,632,720,704,64,504,516,768,912,
Total Block RAM (Kbit),5616,9504,12384,14976,14976,22752,25920,25344,38304,18144,18576,27648,32832,
Mixed-Mode Clock Managers (MMCM),6,10,10,12,12,18,18,12,18,12,12,18,18,
Max Single-Ended I/O Pins,360,600,600,720,720,1200,1200,720,840,320,480,720,720,
Max Differential I/O Pairs,180,300,300,360,360,600,600,360,420,160,240,360,360,
Total I/O Banks,9,15,15,18,18,30,30,18,21,8,12,18,18,
DSP48E1 Slices,288,480,640,768,576,864,864,1344,2016,576,576,864,864,
PCI Express Blocks,1,2,2,2,2,2,0,2,2,4,2,4,4,
10/100/1000 Ethernet MAC Blocks,4,4,4,4,4,4,0,4,4,4,2,4,4,
GTX Transceivers,12,20,20,24,24,36,0,24,36,48,24,48,48,
GTH Transceivers,0,0,0,0,0,0,0,0,0,0,24,24,24,
###, Pins (GTX, GTH)  GTX (GTH) Pins,,,,,,,,,,,,
FF484,"240 (8, 0)","240 (8, 0)",   ,   ,   ,   ,    ,   ,   ,   ,   ,   ,       ,
FFG484,"240 (8, 0)","240 (8, 0)",   ,   ,   ,   ,    ,   ,   ,   ,   ,   ,       ,
FF784,"360 (12, 0)","400 (12, 0)","400 (12, 0)","400 (12, 0)",,      ,      ,      ,      ,      ,      ,      ,      ,          
FFG784,"360 (12, 0)","400 (12, 0)","400 (12, 0)","400 (12, 0)",,      ,      ,      ,      ,      ,      ,      ,      ,          
FF1156,       ,"600 (20, 0)","600 (20, 0)","600 (20, 0)","600 (20, 0)",       ,       ,"600 (20, 0)","600 (20, 0)",       ,       ,       ,           ,
FFG1156,       ,"600 (20, 0)","600 (20, 0)","600 (20, 0)","600 (20, 0)",       ,       ,"600 (20, 0)","600 (20, 0)",       ,       ,       ,           ,
FF1759,        ,        ,        ,"720 (24, 0)","720 (24, 0)","840 (36, 0)",        ,"720 (24, 0)","840 (36, 0)",        ,        ,        ,            ,
FFG1759,        ,        ,        ,"720 (24, 0)","720 (24, 0)","840 (36, 0)",        ,"720 (24, 0)","840 (36, 0)",        ,        ,        ,            ,
FF1760,        ,        ,        ,        ,        ,"1200 (0, 0)","1200 (0, 0)",        ,        ,        ,        ,        ,            ,
FFG1760,        ,        ,        ,        ,        ,"1200 (0, 0)","1200 (0, 0)",        ,        ,        ,        ,        ,            ,
FF1154,        ,        ,        ,        ,        ,        ,        ,        ,        ,"320 (48, 0)",        ,"320 (48, 0)",            ,
FFG1154,        ,        ,        ,        ,        ,        ,        ,        ,       ,"320 (48, 0)",        ,"320 (48, 0)",            ,
FF1155,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,"440 (24, 12)","440 (24, 12)",            ,
FFG1155,        ,        ,        ,        ,        ,        ,        ,        ,        ,       ,"440 (24, 12)","440 (24, 12)",            ,
FF1923,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,"480 (24, 24)","720 (40, 24)","720 (40, 24)",
FFG1923,        ,        ,        ,        ,        ,        ,        ,        ,        ,       ,"480 (24, 24)","720 (40, 24)","720 (40, 24)  ",
FF1924,            ,           ,           ,               ,               ,                               ,,,,              ,,"640 (48, 24)","640 (40, 24)",
FFG1924,            ,           ,           ,               ,               ,                               ,,,,             ,,"640 (48, 24)","640 (40, 24)",
